Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-11,2499.9,2535.0,2483.0,2492.65,2496.05,697368.0,17460.6
2017-08-14,2503.0,2509.9,2463.0,2468.0,2469.4,393252.0,9781.2
2017-08-16,2484.0,2543.8,2465.2,2490.15,2492.35,686670.0,17082.02
2017-08-17,2500.7,2505.0,2462.1,2485.55,2485.65,876187.0,21729.78
2017-08-18,2474.0,2549.9,2471.4,2515.0,2513.8,1418678.0,35762.82
2017-08-21,2505.5,2549.0,2494.3,2513.2,2528.8,1152417.0,29209.42
2017-08-22,2523.0,2539.5,2492.0,2500.0,2497.55,565663.0,14232.52
2017-08-23,2505.0,2516.8,2473.15,2491.6,2489.45,781136.0,19430.94
2017-08-24,2497.7,2517.95,2486.15,2498.05,2496.6,811954.0,20264.87
2017-08-28,2504.6,2505.4,2461.0,2491.0,2487.3,1018398.0,25253.79
2017-08-29,2482.0,2496.0,2463.95,2475.05,2470.85,656301.0,16230.11
2017-08-30,2481.0,2490.0,2460.1,2485.0,2484.55,485391.0,12030.21
2017-08-31,2485.0,2504.4,2466.65,2498.0,2496.35,892332.0,22218.3
2017-09-01,2480.0,2498.05,2436.55,2460.6,2456.45,851165.0,20877.7
2017-09-04,2453.1,2461.0,2438.0,2457.0,2456.2,531272.0,13027.11
2017-09-05,2460.0,2490.0,2437.05,2484.65,2484.35,582997.0,14359.97
2017-09-06,2468.15,2474.85,2450.0,2453.0,2453.2,614382.0,15081.66
2017-09-07,2458.0,2468.4,2451.05,2460.0,2460.1,435318.0,10702.73
2017-09-08,2453.75,2474.0,2452.55,2465.15,2470.6,510567.0,12591.26
2017-09-11,2471.2,2482.95,2450.0,2455.0,2454.45,366382.0,9025.4
2017-09-12,2473.9,2497.0,2457.0,2497.0,2488.45,698230.0,17243.6
2017-09-13,2500.0,2531.65,2475.2,2492.7,2489.2,639490.0,16015.9
2017-09-14,2482.0,2497.6,2471.9,2485.0,2486.95,540755.0,13433.42
2017-09-15,2499.0,2517.0,2485.0,2504.0,2506.05,1472036.0,36850.86
2017-09-18,2504.95,2518.95,2489.25,2505.0,2499.05,363300.0,9092.33
2017-09-19,2505.0,2505.0,2491.5,2498.0,2498.25,391377.0,9770.93
2017-09-20,2514.0,2514.0,2474.3,2496.0,2493.55,667321.0,16588.85
2017-09-21,2491.05,2541.0,2480.0,2525.0,2524.9,1219370.0,30605.45
2017-09-22,2519.9,2526.9,2492.0,2509.0,2503.6,1217698.0,30542.5
2017-09-25,2496.55,2534.0,2492.75,2510.0,2510.75,799779.0,20115.28
2017-09-26,2510.0,2526.4,2466.0,2475.0,2474.65,724615.0,18012.39
2017-09-27,2490.0,2512.2,2473.75,2495.1,2495.0,1005178.0,25086.34
2017-09-28,2494.7,2514.0,2452.0,2472.75,2476.45,2166433.0,53738.2
2017-09-29,2479.0,2484.0,2421.5,2437.6,2435.95,992507.0,24370.25
2017-10-03,2440.0,2454.3,2427.05,2452.0,2448.45,961503.0,23469.06
